unit,probe,width_px,depth_mm,dip,dip_sd,imprint_lvl,mtf,verdict,density_px_per_mm2
hard_1mm_r1,pair050,160,0.1,-0.11524199593698303,0.01932530134550692,2.492264747619629,-0.0544817076052495,신호부족,65.4378119690508
hard_1mm_r1,pair050,160,0.2,0.18916903963020648,0.010058794472574994,5.212032794952393,0.10446532214778122,미분해,65.4378119690508
hard_1mm_r1,pair050,160,0.3,0.23385268194376874,0.009768338651138726,6.9984965324401855,0.132408366817973,미분해,65.4378119690508
hard_1mm_r1,pair050,80,0.1,,,,,접촉 없음,16.3594529922627
hard_1mm_r1,pair050,80,0.2,0.17204365442453862,0.008492867250377456,4.89092493057251,0.0941180323266294,미분해,16.3594529922627
hard_1mm_r1,pair050,80,0.3,0.1997088885493482,0.009018152448716153,6.818945407867432,0.11093144174245538,미분해,16.3594529922627
hard_1mm_r1,pair050,48,0.1,,,,,접촉 없음,5.889403077214571
hard_1mm_r1,pair050,48,0.2,0.06827353480768517,0.006542661762269811,4.328307628631592,0.03534327247563391,미분해,5.889403077214571
hard_1mm_r1,pair050,48,0.3,0.1662889257291733,0.00661573276021802,6.331892967224121,0.0906843657446405,미분해,5.889403077214571
hard_1mm_r1,pair050,32,0.1,,,,,접촉 없음,2.6175124787620323
hard_1mm_r1,pair050,32,0.2,-0.0944454565447932,0.008300559004607116,3.7389895915985107,-0.045093299636744806,미분해,2.6175124787620323
hard_1mm_r1,pair050,32,0.3,0.12853976091619268,0.009314166517764049,5.798660755157471,0.06868420617855107,미분해,2.6175124787620323
hard_1mm_r1,pair050,16,0.1,,,,,접촉 없음,0.6543781196905081
hard_1mm_r1,pair050,16,0.2,,,,,접촉 없음,0.6543781196905081
hard_1mm_r1,pair050,16,0.3,-0.06367048015524124,0.01106758329219024,4.741794109344482,-0.030853026569654475,미분해,0.6543781196905081
hard_1mm_r1,pair050,8,0.1,,,,,접촉 없음,0.16359452992262702
hard_1mm_r1,pair050,8,0.2,,,,,접촉 없음,0.16359452992262702
hard_1mm_r1,pair050,8,0.3,,,,,접촉 없음,0.16359452992262702
hard_2mm_r1,pair050,1920,0.1,0.6284276038940013,0.0837623075444288,2.124973773956299,0.4581804108030727,신호부족,7922.994027581375
hard_2mm_r1,pair050,1920,0.2,0.41104810537533343,0.07117229820182804,3.308250665664673,0.2586913466454747,분해,7922.994027581375
hard_2mm_r1,pair050,1920,0.3,0.3265833427324921,0.0572132249668623,5.584736347198486,0.19515961031830784,분해,7922.994027581375
hard_2mm_r1,pair050,1280,0.1,0.5003038607256058,0.09236383734071014,2.005124807357788,0.33360348648204863,신호부족,3521.330678925055
hard_2mm_r1,pair050,1280,0.2,0.3833605817654352,0.06286981516201177,3.587130069732666,0.23713425358889267,분해,3521.330678925055
hard_2mm_r1,pair050,1280,0.3,0.32798428432889437,0.04172132404781626,5.560627460479736,0.1961610056979935,분해,3521.330678925055
hard_2mm_r1,pair050,854,0.1,0.45780063531798876,0.06697087959861371,2.1867239475250244,0.29684919200597876,신호부족,1567.482181049137
hard_2mm_r1,pair050,854,0.2,0.24951449292223304,0.054994955321953254,3.4530904293060303,0.14254016495044775,미분해,1567.482181049137
hard_2mm_r1,pair050,854,0.3,0.3592317200176739,0.03688732857803904,5.465007781982422,0.21894116579432135,분해,1567.482181049137
hard_2mm_r1,pair050,640,0.1,0.2627284579705187,0.05839114079636813,1.9958314895629883,0.15123050807797103,신호부족,880.3326697312638
hard_2mm_r1,pair050,640,0.2,0.16350424644845718,0.047007724462084344,3.423915386199951,0.08903056058379735,미분해,880.3326697312638
hard_2mm_r1,pair050,640,0.3,0.33837020897351133,0.03042300585734664,5.504447937011719,0.20363754357369804,분해,880.3326697312638
hard_2mm_r1,pair050,426,0.1,-0.2012168497737763,0.04917301582519462,1.7213712930679321,-0.09141164342552428,신호부족,390.03723528357153
hard_2mm_r1,pair050,426,0.2,0.0807001382936694,0.030764657453633184,3.2388827800750732,0.042046654565964466,미분해,390.03723528357153
